worker_id,platform,tenure_months,avg_rating,completion_rate,cancellation_rate,jobs_completed,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,income_month_7,income_month_8,income_month_9,income_month_10,income_month_11,income_month_12,jobs_month_1,jobs_month_2,jobs_month_3,jobs_month_4,jobs_month_5,jobs_month_6,jobs_month_7,jobs_month_8,jobs_month_9,jobs_month_10,jobs_month_11,jobs_month_12
W00028,Delivery,23,4.52,0.918,0.089,1446,9785,10527,10762,11277,11299,11753,10613,12619,10730,9378,9611,9942,62,54,41,64,58,59,62,62,63,50,61,71
W00029,Delivery,20,4.52,0.631,0.303,1574,39808,18054,19629,34702,8541,22912,30691,19713,27942,25013,28720,35171,63,69,62,83,71,78,88,80,95,70,68,72
W00030,Home Services,17,4.51,0.832,0.35,1232,22209,7151,24462,25170,29760,22671,21260,18447,30048,16440,22363,24834,75,84,59,72,70,74,64,68,78,66,66,86
W00031,Home Services,34,4.34,0.635,0.169,2013,29779,17738,21407,5000,21554,32681,30604,33778,33289,21181,33341,15836,44,49,47,50,44,52,58,51,60,55,45,53
W00032,Freelance,19,4.32,0.904,0.091,562,49507,48198,51034,53744,47977,44654,41515,22903,31014,32212,42973,30385,31,27,25,28,28,29,34,21,36,27,28,32
W00033,Delivery,12,4.42,0.844,0.334,1059,20651,14415,20461,18357,16830,14092,17736,17472,14594,17795,20262,19398,63,80,88,87,83,94,89,85,87,103,95,85
W00034,Delivery,17,4.56,0.713,0.243,675,30009,28683,29805,27059,25654,26325,20342,25208,21956,22547,23276,25124,49,38,46,50,44,48,53,44,45,55,45,47
W00035,Ride-Hailing,30,4.08,0.588,0.036,430,9792,10389,12335,9818,6898,7656,10887,8848,12425,10324,8520,5000,14,11,12,17,16,17,15,18,11,11,15,10
W00036,Delivery,18,4.79,0.809,0.145,1541,33126,35932,30392,35263,32771,37120,37291,35607,29514,36530,32880,32784,87,94,82,93,76,82,72,90,78,89,98,104
W00037,Delivery,29,4.55,0.807,0.218,2089,13587,13462,11489,11732,11315,12867,13653,12802,12493,11375,13736,11732,66,57,78,80,64,66,67,67,51,61,69,60
W00038,Ride-Hailing,33,4.28,0.832,0.039,2070,15789,15180,14405,16562,14258,15292,15445,17944,15588,20156,18403,16582,58,55,63,59,62,65,61,67,60,64,63,54
W00039,Delivery,19,4.95,0.792,0.288,1008,16131,18185,26856,23511,13101,15376,28873,31498,16385,25218,23404,21300,59,58,58,51,60,42,60,52,42,54,58,58
W00040,Home Services,21,4.56,0.826,0.106,1728,31447,23433,22025,27568,20617,27563,23088,28973,21109,33169,24373,29776,64,73,65,82,84,72,75,77,76,75,76,72
W00041,Ride-Hailing,17,4.22,0.848,0.237,1690,11923,16399,15354,10153,11831,13430,17692,14310,9203,18170,14380,19558,102,87,79,87,69,72,98,105,83,119,105,109
W00042,Home Services,30,4.94,0.718,0.16,1478,33252,36896,47589,31671,58380,26108,42386,57810,43916,29679,40281,40155,44,49,52,51,53,58,52,43,48,40,38,41
W00043,Home Services,17,4.89,0.956,0.099,705,21309,21768,21897,20176,18790,20897,22723,18359,22542,19475,20586,22948,40,35,40,42,40,41,38,48,45,37,39,41
W00044,Delivery,28,4.32,0.933,0.032,1523,29830,39052,41380,29855,20664,44751,19093,21984,34832,36458,27034,37166,50,58,41,45,51,53,46,47,58,52,57,55
W00045,Home Services,24,4.47,0.76,0.142,733,17048,10765,16473,15303,15195,13377,13859,13210,11770,14255,18989,17310,40,42,33,36,35,25,31,30,23,28,29,29
W00046,Home Services,12,4.44,0.908,0.075,635,77527,73224,86002,70253,59441,74645,66169,64016,74971,67837,71992,78922,54,64,68,66,55,50,59,51,50,42,38,51
W00047,Delivery,29,4.08,0.75,0.194,2430,28455,23520,24291,24243,19602,23757,25409,16745,24622,16931,25032,27117,75,93,76,81,81,70,63,69,73,66,75,82
W00048,Delivery,23,4.63,0.846,0.135,1474,17375,12866,22424,25487,31871,31412,21441,22322,28731,14434,22864,26023,67,64,58,66,54,68,71,53,54,58,58,46
W00049,Home Services,43,4.76,0.788,0.35,2731,28475,32389,27575,28897,31918,30207,21913,19792,28278,27257,26385,23842,63,59,63,50,60,74,50,64,58,71,64,75
W00050,Delivery,12,4.71,0.745,0.238,878,19255,16737,5000,22107,22177,30124,25382,29600,17785,33861,25612,20441,67,76,78,88,82,77,84,80,72,57,83,73
W00051,Delivery,24,4.56,0.792,0.131,1127,30324,23382,31277,31780,45193,17048,37967,27824,41795,25788,29447,30414,48,42,59,54,51,50,53,57,49,48,48,43
W00052,Delivery,16,4.79,0.974,0.151,537,23902,29664,12358,19855,17056,16524,13382,21221,22250,22656,16795,32758,36,37,37,32,37,37,27,35,30,27,36,40
W00053,Home Services,12,4.27,0.63,0.068,682,15859,18730,16446,19421,17354,25199,16601,21116,17119,18032,22566,11446,47,48,45,57,46,55,68,57,66,59,43,52
W00054,Home Services,12,5.0,0.909,0.104,637,21658,28439,26052,14815,23749,26372,19145,26678,22757,30546,18515,30673,53,55,48,46,47,54,50,56,55,47,45,51
W00055,Home Services,48,4.36,0.892,0.159,3605,14992,20859,16730,17115,15016,16104,14183,20674,19933,18121,18238,19616,69,62,61,61,72,57,59,63,77,79,73,90
W00056,Home Services,25,4.38,0.987,0.28,1628,20988,25298,19425,22845,19326,18212,22217,17752,19978,22463,17756,17701,75,75,75,68,72,72,73,71,65,65,56,66
W00057,Ride-Hailing,19,4.41,0.887,0.159,354,13157,6299,8903,9976,11589,7344,9157,16538,5547,10151,8137,8778,16,18,22,18,16,16,19,17,15,19,18,17
W00058,Ride-Hailing,12,4.39,0.676,0.068,339,7399,16449,9051,7707,22897,19214,20195,15242,13808,15658,21444,16543,31,28,29,19,28,21,25,29,26,27,24,29
W00059,Delivery,46,4.5,0.922,0.26,3962,24210,26851,16418,23174,22754,23427,25880,25349,21177,17957,18147,14769,67,73,61,85,87,77,77,83,69,55,94,56
W00060,Delivery,13,4.49,0.628,0.237,374,18190,16130,24416,19649,15858,19883,20961,18831,22511,25321,17752,19982,31,39,33,27,34,29,31,29,32,33,35,37
W00061,Home Services,25,4.58,0.988,0.065,1991,17476,17867,25181,27824,39400,23614,30994,37315,47717,29498,37833,31369,46,58,64,81,81,62,83,79,68,75,76,74
W00062,Ride-Hailing,22,4.35,0.681,0.249,334,29759,30853,31515,31520,31604,28613,31751,30921,27625,25028,24945,27333,14,17,16,16,16,17,15,17,16,14,16,14
W00063,Ride-Hailing,59,4.59,0.878,0.085,5194,22818,14098,24378,17021,9055,33104,23883,32568,21154,21395,43742,7296,86,66,68,103,86,65,70,84,101,101,86,98
W00064,Home Services,21,4.28,0.917,0.35,1002,17348,26187,14861,16116,15768,15776,11496,16992,13090,20428,6661,16257,51,53,56,54,53,50,53,49,57,51,72,63
W00065,Ride-Hailing,15,4.73,0.955,0.11,1008,25129,26615,25175,29557,30540,30057,30517,30073,26753,28686,23622,24396,63,94,70,74,78,81,76,67,69,78,77,77
W00066,Ride-Hailing,25,4.73,0.736,0.02,1522,14938,19748,20500,20221,18939,19508,14273,23745,13656,18557,22861,17981,60,47,54,67,45,55,69,55,42,60,58,54
W00067,Ride-Hailing,26,4.55,0.861,0.241,2411,22378,21180,17338,18924,23786,25935,15626,14119,21187,19277,13856,15476,83,89,74,92,90,74,94,65,65,69,74,79
W00068,Delivery,60,4.39,0.594,0.041,5014,10119,9815,10273,10371,10843,10647,10309,8942,9862,13511,13046,10640,87,91,89,74,70,83,67,89,70,95,79,76
W00069,Delivery,21,4.63,0.956,0.258,1255,24514,21258,21775,22763,21410,22426,21641,23094,23655,26195,23516,25785,63,58,52,52,68,46,52,45,60,60,56,51
W00070,Ride-Hailing,12,4.33,0.769,0.092,268,18190,18875,29519,17456,26344,23229,24407,25380,21149,18467,22371,17253,30,29,31,32,32,34,29,32,30,27,27,31
W00071,Delivery,17,4.56,0.578,0.036,360,30955,20871,26573,21804,32848,23686,29440,34140,29475,24236,32026,23317,25,24,29,22,26,23,24,26,20,24,24,25
W00072,Ride-Hailing,25,4.51,0.845,0.072,821,12543,19657,12726,19974,7801,14522,29293,20330,24524,23466,31801,18875,36,34,41,29,41,40,31,42,44,33,43,46
W00073,Freelance,28,5.0,0.692,0.063,1194,10063,11231,14439,11463,13290,12156,9438,16509,12102,15668,14582,14097,45,33,34,40,34,42,44,45,36,34,37,34
W00074,Delivery,12,4.24,0.83,0.135,1039,28692,34994,27918,35381,25224,26274,24742,27678,28985,28423,29399,31385,86,77,88,96,80,84,79,73,86,109,109,80
W00075,Delivery,15,3.88,0.864,0.075,686,20320,22243,27384,19056,21666,21351,26418,30567,24328,26702,22269,16732,37,42,35,38,42,45,61,43,42,52,38,38
W00076,Delivery,57,4.39,0.529,0.111,3802,30645,27446,29884,29978,31792,39293,31590,33904,30465,28690,32155,21522,79,55,64,73,71,61,76,55,43,57,42,59
W00077,Delivery,12,4.12,0.798,0.041,333,13130,9508,15419,12627,10709,6060,9342,10215,13639,7547,15790,10562,28,24,24,20,27,26,31,26,23,31,28,27
W00078,Home Services,35,4.37,0.79,0.251,1913,21715,17889,22232,19601,21525,19974,15597,16197,15400,17231,20076,20261,52,41,51,47,52,57,55,52,50,57,62,49
W00079,Ride-Hailing,17,4.23,0.827,0.045,1076,38245,22806,26269,33036,31907,34396,37184,29774,41927,43203,41644,25370,58,45,66,60,48,44,63,43,51,63,49,47
W00080,Home Services,21,4.32,0.697,0.23,991,14719,16083,10726,10177,12757,12762,11790,11145,16206,13906,13384,14699,54,52,61,65,52,48,46,46,56,60,65,44
W00081,Home Services,12,4.28,0.79,0.342,405,35522,26530,39548,28816,41695,32023,40623,37973,39667,34327,38191,25580,36,33,30,33,33,41,35,30,35,30,28,30
W00082,Ride-Hailing,18,4.79,0.855,0.135,1279,43326,36032,35281,32578,37756,41442,35755,32333,32382,36846,35198,35354,64,79,80,71,78,62,51,67,61,66,75,55
W00083,Home Services,25,4.54,0.701,0.031,1593,29810,29369,26713,29331,24127,27343,21980,23533,26544,28424,27443,28420,66,74,70,62,80,71,66,91,77,82,78,84
W00084,Delivery,21,4.82,0.554,0.069,930,11646,14716,17441,19026,16574,15483,19654,16168,17147,14555,13519,18297,62,52,60,52,41,40,43,39,44,60,46,65
W00085,Delivery,19,4.56,0.719,0.036,319,17918,15452,17940,17017,12537,15365,11298,16282,17281,20381,17441,13753,17,19,14,20,16,16,18,16,16,20,17,19
W00086,Delivery,30,4.78,0.803,0.35,2044,16033,22467,25188,15204,29299,23633,30711,23100,23742,26773,25748,19693,66,70,61,60,65,67,64,76,62,72,81,75
W00087,Home Services,12,4.47,0.936,0.111,763,32327,31879,34634,29667,31041,27613,29043,27934,29622,33065,29268,30685,65,50,69,58,60,65,62,51,71,59,60,57
W00088,Ride-Hailing,25,4.95,0.757,0.209,2215,33482,48999,54816,43554,30215,39748,39051,33121,29696,51946,50914,49896,89,101,95,84,78,91,95,80,87,97,90,98
W00089,Delivery,12,4.67,0.949,0.265,435,26840,21739,36070,16181,16443,24339,10569,39394,34042,11358,30497,16001,38,36,35,28,27,31,30,42,38,32,39,35
W00090,Ride-Hailing,41,4.36,0.5,0.298,3627,16128,17349,17735,21778,13754,14211,14104,16260,24382,16609,21997,15221,82,83,86,74,89,79,91,102,86,91,88,92
W00091,Delivery,19,4.7,0.775,0.35,1038,49300,45414,33103,41088,21268,31427,27602,50025,24207,49993,41115,32793,49,39,42,43,39,48,37,43,48,61,39,49
W00092,Home Services,34,4.56,0.687,0.074,3335,40912,28068,29692,39797,38413,39173,47612,46982,46942,45843,38527,47885,99,83,109,105,98,112,106,93,111,85,80,87
W00093,Ride-Hailing,12,4.5,0.5,0.065,482,10375,36025,36126,34659,26389,15654,15776,32406,32639,25789,21932,26401,42,49,56,45,44,38,44,37,49,36,43,37
W00094,Delivery,31,4.57,0.902,0.074,2048,27060,32744,27122,32292,32452,28384,34047,26238,27455,26391,24235,27610,77,66,70,81,55,67,67,67,54,48,70,67
W00095,Delivery,13,4.74,0.848,0.01,291,49597,52461,45828,31504,41422,22236,34292,38925,25017,34825,23026,18563,17,28,26,21,28,22,24,26,23,23,21,17
W00096,Ride-Hailing,21,4.02,0.952,0.15,1030,7377,7023,8254,9620,8199,8306,8087,10111,8989,6532,9065,7816,54,60,49,45,44,55,58,53,55,50,58,48
W00097,Delivery,31,4.46,0.814,0.098,1474,27831,24534,28989,24540,21887,24548,24344,24321,22315,19614,26452,22662,62,59,50,54,58,51,59,58,51,48,42,49
W00098,Delivery,20,4.72,0.919,0.122,1280,19436,19377,22923,21668,21713,19805,19846,22091,20782,18990,18194,22909,58,65,79,58,70,66,57,58,58,58,62,73
W00099,Delivery,29,4.61,0.923,0.126,1570,14706,15461,15296,16248,18552,18259,16161,15666,14860,15279,11631,13347,41,37,48,64,53,50,43,38,48,47,38,51
W00100,Freelance,17,4.27,0.71,0.155,915,27056,22828,20714,28411,29357,29294,19347,25918,30329,36680,23377,26519,49,54,48,52,51,56,55,58,71,49,58,59
W00101,Freelance,42,3.96,0.919,0.308,3350,21860,23091,27227,27226,37586,23309,29301,30103,13817,21872,31106,19200,79,73,80,86,74,86,69,68,90,75,75,65
W00102,Home Services,19,4.98,0.949,0.071,864,25662,12586,26109,16061,32085,29457,19426,17755,45815,27872,17470,26735,45,34,45,39,40,41,45,42,51,37,54,45
W00103,Delivery,19,4.5,0.612,0.066,1008,16943,21077,25242,28738,24391,29133,23453,34644,27880,17769,25082,31914,51,42,43,40,43,47,42,53,46,44,45,44
W00104,Freelance,20,4.93,0.58,0.237,1177,24746,30201,27548,25186,32043,40505,34562,13155,20323,34650,10337,33790,53,47,59,56,60,55,74,62,64,79,51,50
W00105,Home Services,21,4.75,0.746,0.12,1134,23420,29315,22912,25069,24373,33455,23403,23794,25234,20428,22694,19713,54,55,53,46,64,67,59,68,55,59,50,59
W00106,Home Services,12,4.35,0.962,0.35,648,20501,10012,21552,9264,18228,16172,23046,15885,27073,20098,8080,26937,49,49,57,64,33,58,54,58,51,70,52,38
W00107,Ride-Hailing,12,3.92,0.924,0.344,677,15944,16253,18701,13384,16562,15312,12134,15967,12317,23147,16037,14253,59,54,57,55,68,49,55,51,44,50,51,64
W00108,Delivery,36,4.43,0.795,0.117,1037,53102,50939,69348,59792,62117,63027,55944,51771,54669,49402,53071,56064,31,32,37,35,32,28,32,28,23,32,29,37
W00109,Delivery,33,4.54,0.744,0.243,3038,26691,26233,42635,43720,38579,36928,28766,34472,38779,24812,23165,26168,68,73,89,79,73,93,89,98,113,101,91,100
W00110,Freelance,32,4.66,0.849,0.108,1214,31370,25106,29437,40297,35933,34709,41829,24987,35512,29201,22956,24108,50,62,50,44,43,52,50,53,39,36,42,37
W00111,Ride-Hailing,27,4.27,0.938,0.228,1127,25962,25992,33772,35246,33304,27447,16683,19967,20614,27631,17329,19210,43,38,32,29,39,32,34,35,46,31,35,40
W00112,Delivery,15,4.59,0.938,0.217,831,33232,44372,49045,12017,23905,33574,25203,40449,14278,22981,36858,36178,72,70,57,71,73,45,50,62,48,56,73,68
W00113,Delivery,14,4.59,0.907,0.101,401,23091,20375,23351,23994,24313,24765,21776,21169,22441,22875,21100,21267,38,40,34,37,37,39,37,26,39,34,27,40
W00114,Ride-Hailing,21,4.8,0.601,0.213,1093,34293,31959,30393,29821,31161,26030,27543,27523,26392,29690,28682,29405,47,48,47,51,48,60,57,38,55,42,49,45
W00115,Delivery,40,4.47,0.812,0.312,3114,7953,7977,10512,13182,14269,8557,8694,7481,13056,12503,9287,14114,78,70,86,60,58,78,80,87,78,76,75,73
W00116,Freelance,24,4.66,0.855,0.228,1388,38901,37869,30900,31014,39242,43641,41044,31208,30446,34625,25547,30644,52,57,48,51,54,69,59,61,67,62,64,46
W00117,Home Services,12,4.62,0.782,0.09,574,30136,25994,29382,18536,20994,16004,19801,13382,24470,16713,18916,19573,43,33,30,41,32,45,54,45,49,46,47,45
W00118,Home Services,12,4.77,0.921,0.238,441,18874,18394,24277,14593,20296,19568,16573,17909,17538,11553,15064,10012,33,42,35,34,29,41,36,29,38,26,27,29
W00119,Ride-Hailing,34,4.35,0.885,0.018,2297,24079,22360,29986,22384,20635,27432,27252,24125,20850,25857,17901,29216,55,66,63,61,59,56,67,72,61,67,51,63
W00120,Ride-Hailing,47,3.78,0.906,0.35,1872,21113,29548,31622,5000,37441,28677,30059,32022,23902,30994,26397,22406,43,44,45,40,41,37,36,42,40,45,32,42
W00121,Ride-Hailing,12,4.49,0.75,0.266,535,34843,34019,36278,28079,28307,32499,27909,31394,27236,29260,29663,31439,28,32,45,31,51,39,35,43,36,43,34,37
W00122,Ride-Hailing,35,4.49,0.832,0.189,2224,12975,28196,32132,33423,32814,31792,34317,17639,37032,46747,39322,11686,62,54,65,54,62,69,67,69,83,64,58,55
W00123,Delivery,27,4.26,0.837,0.342,1694,40753,31992,60823,46011,28472,27866,41512,32525,28296,27515,44014,28073,65,74,61,78,65,72,62,64,91,66,81,68
W00124,Ride-Hailing,12,4.17,0.871,0.038,439,11172,16287,26910,16032,25650,20280,9890,15559,15779,18389,20468,9408,46,35,32,39,41,33,42,34,43,46,50,36
W00125,Delivery,24,4.41,0.653,0.211,701,27961,24593,29029,19735,27747,14584,24675,18504,26817,30788,29743,20825,23,28,27,30,26,23,34,25,27,30,28,24
W00126,Ride-Hailing,12,4.52,0.658,0.35,539,20345,23193,23867,25679,24046,22708,22667,20693,21134,20941,20846,23097,39,38,50,49,56,45,47,42,51,50,53,47
W00127,Delivery,18,4.57,0.84,0.188,1209,15199,15101,12742,15745,11478,6296,15202,18403,10037,10456,7067,14252,58,54,65,60,60,76,72,66,58,58,63,51
W00128,Delivery,21,3.98,0.816,0.059,1349,25294,28456,32744,28571,30776,32170,28554,28780,24740,30299,24631,13981,73,50,62,59,59,63,52,65,69,70,69,64
W00129,Delivery,42,4.11,0.936,0.35,1738,19835,22461,19038,22790,20409,23453,22373,23971,21148,22160,24844,21206,44,43,41,36,43,45,44,40,47,47,49,46
W00130,Ride-Hailing,18,4.83,0.876,0.153,1012,26907,27404,27230,29803,32842,32780,31980,30440,30466,29085,25664,27859,66,47,71,68,65,63,50,71,55,64,51,53
W00131,Delivery,13,4.5,0.749,0.316,503,35206,34469,34021,32156,25318,30814,28345,34064,33568,34989,32466,28642,39,39,40,42,41,43,51,51,46,36,42,51
W00132,Freelance,26,4.55,0.916,0.158,895,20641,20106,20189,20809,22982,25260,18547,17410,18741,21846,16659,22000,31,36,35,34,40,35,44,37,36,35,25,29
W00133,Ride-Hailing,29,4.22,0.509,0.205,2447,42796,43743,41569,45893,40649,43338,37056,39073,47228,41013,47851,49509,64,78,69,78,63,97,77,95,76,76,87,91
W00134,Delivery,13,4.55,0.583,0.275,893,19638,13026,13256,7043,16630,9095,16803,17122,15522,12060,17779,16502,73,94,65,75,84,60,77,71,72,79,81,51
W00135,Ride-Hailing,12,4.46,0.939,0.289,538,12913,13100,14639,14898,13020,15507,13732,14906,12208,12848,12451,12874,39,43,47,32,44,33,37,41,40,39,33,36
W00136,Delivery,12,4.4,0.987,0.11,805,16307,14304,14611,16208,21047,24235,20011,26066,14095,18492,16307,19316,55,51,71,61,69,79,59,53,73,60,61,69
W00137,Freelance,42,4.18,0.935,0.056,1322,20532,19051,19539,21324,17937,17117,20009,17537,16271,16873,17053,18082,32,34,31,29,27,29,26,33,28,29,29,32
W00138,Ride-Hailing,29,4.33,0.958,0.111,2344,19048,12383,18234,22071,14028,17952,21736,20944,27711,20251,19291,16160,90,67,76,85,71,85,78,85,95,92,87,89
W00139,Home Services,17,5.0,0.861,0.109,1144,31541,32677,26957,28208,26767,27796,27215,26185,32191,28016,31438,28361,62,61,62,67,61,55,86,73,68,81,60,73
W00140,Delivery,38,4.46,0.956,0.216,2310,20102,21324,20299,23895,21300,16841,21420,16428,20638,16855,21278,17953,59,63,52,54,59,45,62,61,66,56,64,67
W00141,Ride-Hailing,13,4.75,0.532,0.01,405,29623,27818,23929,23659,27902,23734,27580,27161,38411,29892,27196,28877,29,33,37,35,38,28,30,30,25,30,27,31
W00142,Ride-Hailing,20,4.5,0.758,0.21,1658,8385,11050,16113,16196,5000,19017,10298,15868,14599,12850,17214,7382,67,83,76,75,87,80,67,76,75,72,73,69
W00143,Freelance,12,4.47,0.794,0.153,809,23982,31715,28019,23247,19928,27846,23879,17696,24341,23299,23592,28154,70,77,53,59,71,72,58,53,67,52,51,59
W00144,Ride-Hailing,37,4.39,0.679,0.241,2430,22463,16234,9957,16811,19143,13628,18994,18916,12370,15370,17699,18742,78,76,78,61,75,66,54,51,58,54,65,64
W00145,Ride-Hailing,12,4.89,0.843,0.022,865,26911,23636,25076,23754,22313,15236,27518,23765,20906,25976,26671,36400,76,80,94,86,69,70,81,82,62,86,64,79
W00146,Delivery,12,4.64,0.95,0.244,736,18305,18603,14460,16059,20196,20395,17773,18176,20047,22098,19054,21128,62,61,72,74,66,77,69,64,69,64,57,65
W00147,Delivery,26,4.35,0.816,0.134,850,24187,27454,22458,18745,19109,17231,16526,12671,18155,20899,20285,20635,29,34,30,32,37,38,35,36,37,34,30,37
W00148,Ride-Hailing,12,4.45,0.734,0.081,891,23703,24019,26271,25043,24931,22671,21341,20271,20484,20143,21494,20889,79,88,61,89,99,77,81,70,60,71,65,69
W00149,Ride-Hailing,12,4.82,0.876,0.207,519,13231,35866,41703,25991,16428,5714,33035,25389,5000,15546,13199,30994,40,50,46,32,43,45,44,43,34,32,42,30
W00150,Delivery,32,3.84,0.862,0.053,1803,35894,55325,66311,50334,35942,43981,40757,30378,35076,35407,37523,46436,36,42,53,43,53,49,52,46,50,56,42,49
W00151,Home Services,12,4.63,0.591,0.35,603,24475,40359,21779,17081,31598,32412,31139,27577,24372,26423,18643,32773,56,56,44,58,52,42,45,54,51,35,41,48
W00152,Freelance,60,4.68,0.816,0.111,1765,24884,41209,30519,30990,44239,27764,31202,24796,26765,17678,19200,12797,24,30,29,36,28,27,34,29,26,27,31,32
W00153,Delivery,23,4.36,0.639,0.112,851,29345,22073,26086,31068,31919,25278,31698,26433,24558,24096,35836,25895,44,42,32,58,37,34,41,43,48,42,38,32
W00154,Ride-Hailing,12,4.59,0.618,0.086,419,21561,21744,24224,15657,11419,11708,12725,15803,10807,14450,8596,10591,32,27,35,41,40,34,34,32,39,28,37,37
W00155,Delivery,12,4.68,0.704,0.164,444,22577,20883,25140,24675,26074,26462,25736,27981,23267,23441,22260,25328,34,33,39,37,41,41,45,39,33,35,36,29
W00156,Home Services,48,4.24,0.956,0.092,2353,19180,14064,20148,22421,19717,16260,17180,14955,15275,16423,19731,19841,42,51,39,44,66,58,50,60,58,55,74,42
